datetime,104,1111,Total
2021/01/10,7,6,22
2021/01/11,6,6,21
2021/01/12,14,6,29
2021/01/13,2,6,17
2021/01/14,2,6,17
2021/01/15,3,6,18
2021/01/15,3,6,18
2021/01/15,3,6,18
2021/01/15,3,6,18
2021/01/15,3,6,18
2021/01/15,3,6,18
2021/01/15,4,6,19
2021/01/15,4,6,19
2021/01/16,3,6,18
2021/01/16,3,6,18
2021/01/17,5,6,20
2021/01/17,5,6,20
2021/01/18,4,6,19
2021/01/18,4,6,19
2021/01/19,14,6,29
2021/01/19,14,6,29
2021/01/20,3,6,18
2021/01/20,3,6,18
2021/01/21,2,6,17
2021/01/21,2,6,17
2021/01/22,2,7,18
2021/01/22,3,7,19
2021/01/23,3,7,19
2021/01/23,3,7,19
2021/01/24,5,7,21
2021/01/24,6,7,22
2021/01/25,3,6,18
2021/01/25,5,6,20
2021/01/26,5,6,20
2021/01/26,5,6,20
2021/01/27,3,6,18
2021/01/27,3,6,18
2021/01/28,2,6,17
2021/01/28,2,6,17
2021/01/29,2,6,17
2021/01/29,2,6,17
2021/01/30,3,6,18
2021/01/30,3,6,18
2021/01/31,4,6,19
2021/01/31,4,6,19
2021/02/10,5,7,20
2021/02/10,5,7,19
2021/02/10,5,7,19
2021/02/10,5,7,19
2021/02/11,10,7,24
2021/02/11,10,7,24
2021/02/11,10,7,24
2021/02/12,9,7,23
2021/02/12,9,7,23
2021/02/12,9,7,23
2021/02/13,11,7,25
2021/02/13,11,7,25
2021/02/13,11,7,25
2021/02/14,14,7,28
2021/02/14,14,7,28
2021/02/14,14,7,28
2021/02/14,14,7,28
2021/02/15,17,7,31
2021/02/15,17,7,31
2021/02/15,17,7,31
2021/02/16,2,7,16
2021/02/16,2,7,16
2021/02/16,2,7,16
2021/02/17,2,7,16
2021/02/17,1,7,15
2021/02/17,1,7,15
2021/02/18,3,7,17
2021/02/18,3,7,17
2021/02/18,3,7,17
2021/02/19,3,7,17
2021/02/19,3,7,17
2021/02/19,3,7,17
2021/02/20,5,7,19
2021/02/20,5,7,19
2021/02/20,5,7,19
2021/02/21,5,7,19
2021/02/21,5,7,19
2021/02/21,5,7,19
2021/02/22,7,7,21
2021/02/22,7,7,21
2021/02/22,7,7,21
2021/02/23,13,7,27
2021/02/23,13,7,27
2021/02/23,13,7,27
2021/02/24,3,7,17
2021/02/24,3,7,17
2021/02/24,3,7,17
2021/02/25,4,7,18
2021/02/25,4,7,18
2021/02/25,4,7,18
2021/02/26,6,7,20
2021/02/26,6,7,20
2021/02/26,6,7,20
2021/02/27,4,7,18
2021/02/27,4,7,18
2021/02/27,4,7,18
2021/02/28,5,7,19
2021/02/28,5,6,18
2021/02/28,5,6,18
2021/03/01,8,6,21
2021/03/01,8,6,21
2021/03/01,8,6,21
2021/03/02,4,6,17
2021/03/02,4,6,17
2021/03/02,4,6,17
2021/03/03,7,6,20
2021/03/03,7,6,20
2021/03/03,7,6,20
2021/03/04,5,6,18
2021/03/04,5,6,18
2021/03/04,5,6,18
